326	535	309	534
609	388	573	373
348	262	339	254
270	403	269	402
238	189	238	190
498	396	464	381
239	124	237	124
239	124	237	124
590	508	554	500
900	341	900	342
727	471	727	471
272	182	272	183
272	182	272	183
200	176	200	177
200	176	200	177
239	554	239	555
749	623	749	624
275	181	275	182
167	199	167	199
568	561	531	543
271	67	267	64
944	443	943	443
944	443	943	443
455	418	424	399
446	455	419	435
559	414	516	403
630	229	596	226
542	583	503	564
313	328	312	328
480	368	447	353
857	335	856	335
512	461	475	446
631	281	604	275
296	374	296	374
604	299	561	296
725	614	725	615
579	401	537	391
752	564	751	564
543	497	503	481
509	377	473	363
645	296	616	292
645	296	616	292
536	354	497	342
536	354	497	342
582	345	540	334
298	374	298	374
264	612	263	612
488	534	454	514
488	534	454	514
256	513	256	514
446	325	417	309
468	473	436	455
579	372	537	364
495	392	461	377
745	534	744	535
330	437	330	438
611	518	577	508
311	437	313	437
442	519	414	498
551	390	510	378
454	311	425	296
268	518	268	520
306	389	306	390
298	180	298	180
290	214	290	214
571	321	528	313
309	406	309	406
459	520	428	499
733	634	733	634
647	231	617	229
647	231	617	229
646	321	617	316
177	116	176	117
492	412	458	397
500	444	464	427
500	444	464	427
572	304	528	294
338	420	338	420
475	335	443	320
632	456	602	448
292	235	292	235
294	253	294	253
478	160	456	150
498	519	462	501
537	409	498	396
477	160	456	150
522	498	484	482
279	488	279	488
559	537	517	522
471	294	439	281
287	475	287	476
481	353	442	339
536	211	503	203
538	343	498	332
489	356	455	342
438	294	410	280
521	478	483	461
299	461	299	461
611	458	577	448
560	521	519	507
611	394	575	386
611	394	575	386
614	358	579	351
443	315	414	300
443	315	414	300
573	335	530	326
522	366	485	353
561	431	519	420
582	311	540	303
500	402	464	387
613	476	578	467
617	333	582	327
586	360	545	351
586	360	545	351
543	515	503	500
305	453	305	453
516	373	479	360
549	517	509	502
558	557	518	541
466	432	434	414
541	522	501	506
639	365	609	360
449	487	420	466
618	480	585	472
513	503	476	486
536	513	497	497
536	513	497	497
600	256	554	257
600	256	554	257
617	188	581	184
505	500	469	483
566	424	524	412
520	530	482	513
522	521	484	504
495	294	460	282
495	294	460	282
553	581	512	564
525	423	487	409
643	331	609	360
586	530	548	517
586	530	548	517
506	534	470	516
556	314	515	305
491	337	457	323
517	551	480	532
556	314	515	305
527	173	501	166
620	496	588	488
445	498	417	477
543	534	503	518
439	522	411	500
521	526	483	509
503	341	468	328
555	542	514	527
509	521	473	503
527	419	489	405
527	419	489	405
516	368	479	354
506	524	469	506
534	531	495	514
529	529	490	512
486	335	453	321
514	423	477	409
644	364	606	457
520	345	483	333
532	514	493	498
517	524	480	507
492	420	456	404
540	424	501	411
657	230	630	228
657	230	630	228
508	504	471	487
508	504	471	487
504	518	468	500
547	579	507	562
547	579	507	562
489	305	455	293
492	401	457	385
492	401	457	385
517	506	479	489
549	536	509	521
445	493	416	472
501	516	465	498
492	401	457	385
492	401	457	385
533	522	494	505
451	484	421	464
449	443	419	424
515	312	478	301
436	439	409	419
554	523	513	509
633	476	604	469
517	420	480	406
543	577	504	560
625	198	589	195
625	198	589	195
519	462	481	447
439	301	410	286
513	466	476	450
506	310	470	298
565	436	523	423
495	541	460	522
496	386	461	371
567	585	525	570
537	532	498	516
460	516	429	496
634	470	605	463
495	537	460	518
527	375	488	363
550	531	509	516
550	531	509	516
445	436	415	417
538	519	499	502
505	542	469	523
528	570	488	550
454	327	424	312
508	516	471	498
726	644	726	645
513	511	476	494
513	511	476	494
453	524	424	503
456	510	426	489
456	510	426	489
620	218	583	215
627	511	593	506
484	279	451	267
514	423	477	409
452	512	422	491
547	440	507	427
489	423	454	407
489	423	454	407
614	465	579	456
492	389	457	374
492	389	457	374
494	408	457	385
524	568	486	549
524	568	486	549
443	444	414	424
564	461	522	449
495	418	460	403
553	535	512	520
489	404	455	388
489	404	455	388
619	225	580	223
607	463	572	454
607	463	572	454
484	463	450	445
611	236	580	223
471	445	439	427
479	486	446	468
597	258	554	257
595	257	485	344
528	511	490	495
532	486	493	473
479	295	474	291
619	467	586	458
601	522	565	511
647	285	618	282
543	574	503	556
483	345	449	331
469	292	437	279
512	460	475	444
512	460	475	444
582	490	542	477
711	637	711	637
582	389	542	355
622	213	586	209
522	356	485	344
515	463	477	447
515	463	477	447
536	427	497	413
499	539	463	520
491	300	457	288
437	288	407	275
533	517	494	501
543	526	503	510
496	406	461	391
622	481	589	472
630	213	595	209
619	482	586	474
489	297	455	285
491	283	457	275
434	305	406	289
501	396	465	381
567	218	535	211
714	632	716	630
454	320	424	305
491	288	457	275
443	482	499	162
625	466	592	458
521	562	484	544
521	562	484	544
532	527	493	511
501	543	465	524
499	387	464	373
600	220	565	214
620	469	587	460
459	452	427	433
