526	304	479	290
309	287	242	276
296	129	232	112
670	304	620	283
543	211	491	196
449	221	396	207
750	364	707	344
775	46	722	39
845	305	789	281
136	330	61	325
241	311	176	307
250	360	187	356
637	115	584	99
637	115	584	99
397	566	410	565
856	412	809	386
740	108	685	93
538	112	484	96
115	431	66	439
824	128	764	111
445	117	387	101
358	118	295	101
799	367	752	346
262	162	192	150
131	388	60	391
719	88	664	73
762	86	708	73
163	330	90	327
579	247	534	232
256	102	185	83
249	241	182	232
558	130	504	116
864	372	813	348
475	264	427	251
293	100	222	81
835	259	773	241
43	519	62	551
554	265	507	251
519	91	466	74
526	264	481	250
520	132	466	116
372	96	310	78
428	93	370	76
653	301	599	284
719	134	665	118
644	379	602	362
340	97	276	80
248	219	180	206
604	362	563	347
740	436	709	415
778	71	721	58
474	356	430	344
364	568	378	572
364	568	378	572
618	134	564	118
247	196	178	182
148	346	73	343
268	346	206	340
428	126	370	109
562	359	521	345
445	92	388	74
548	70	495	53
799	167	740	152
141	206	64	195
757	165	701	149
430	286	385	275
419	259	368	246
419	259	368	246
349	331	292	322
545	358	504	344
526	358	484	345
355	359	302	351
414	274	367	262
716	165	661	150
940	266	878	247
376	127	314	111
342	128	278	112
931	271	878	247
280	310	211	302
275	99	205	80
598	167	544	151
94	410	25	417
559	165	505	149
355	294	292	282
250	265	183	256
328	359	272	352
616	154	563	138
691	308	636	290
691	308	636	290
873	350	820	327
616	165	562	150
616	165	562	150
791	284	638	264
633	196	580	180
835	82	776	70
375	552	384	554
429	157	563	138
673	280	638	264
376	311	317	300
346	168	281	151
466	155	505	139
577	240	492	226
180	369	112	368
903	378	847	353
166	369	96	369
907	400	852	374
322	611	351	619
876	387	824	363
876	387	824	363
295	128	226	112
732	108	677	94
804	399	759	377
323	369	270	363
323	369	270	363
199	369	134	367
711	363	669	344
237	368	176	365
237	368	176	365
796	390	750	368
747	90	692	77
624	291	582	275
289	257	222	247
283	97	213	78
942	387	883	361
136	190	57	177
309	114	243	97
811	391	763	369
586	345	545	330
306	369	254	363
668	110	614	95
218	377	156	375
298	169	230	154
754	139	698	123
406	344	358	334
949	345	889	320
296	144	228	127
294	114	225	97
251	18	195	167
954	333	892	309
859	372	808	348
117	255	37	248
830	188	771	172
954	333	892	309
182	437	99	445
740	82	685	68
232	453	210	458
688	110	634	95
688	110	634	95
900	302	888	253
900	302	888	253
586	186	533	170
350	318	293	309
944	305	885	283
951	272	888	253
242	26	188	173
93	363	14	365
387	377	341	370
736	187	681	171
257	187	188	173
307	20	253	172
679	383	637	365
293	444	279	446
57	516	86	543
320	354	262	347
65	517	97	544
483	270	439	257
689	362	647	344
584	233	498	218
730	194	675	177
963	356	902	331
350	465	343	464
937	298	879	277
723	139	470	125
317	347	259	340
661	150	413	134
385	117	323	100
731	173	676	157
416	368	370	359
939	337	879	314
741	194	686	178
608	511	603	496
831	175	771	160
549	232	498	218
267	320	203	313
209	203	142	191
401	116	341	99
401	116	341	99
194	66	123	43
266	181	195	167
560	273	518	258
279	181	210	167
526	379	485	366
571	273	518	258
491	346	448	334
727	82	673	68
934	330	875	307
649	258	597	242
492	352	449	339
726	260	672	243
451	349	406	338
528	92	475	76
192	438	165	443
485	236	437	222
575	230	489	215
575	230	489	215
871	334	818	315
367	257	301	245
367	257	685	68
678	349	637	332
926	380	868	354
540	230	489	215
540	230	489	215
654	360	613	343
348	101	285	83
544	92	490	75
668	106	514	92
124	363	48	364
584	239	499	223
918	315	862	293
918	315	862	293
280	352	220	346
802	366	755	345
309	376	257	370
589	274	547	259
913	383	857	357
398	599	421	601
543	354	502	341
304	90	237	71
535	272	489	258
122	502	55	516
941	362	881	337
914	374	857	349
468	240	419	227
450	368	406	358
946	634	945	593
412	348	365	338
366	306	306	297
222	315	158	310
241	74	169	54
44	115	293	309
596	269	551	254
128	252	49	245
128	252	49	245
828	79	769	67
698	361	656	343
