115	179	115	182
325	530	312	534
353	262	343	253
274	398	273	398
244	192	245	193
244	192	245	193
589	509	553	502
751	422	751	422
305	481	305	471
922	415	922	415
922	415	922	415
547	302	508	292
214	182	213	183
214	182	213	183
210	180	210	181
279	184	279	184
279	184	279	184
28	305	20	316
28	305	20	316
577	448	533	436
248	546	247	547
741	613	741	614
25	310	20	316
278	75	278	76
569	501	529	487
277	21	276	21
631	230	596	227
316	328	316	328
559	413	516	403
480	368	447	353
509	413	472	399
602	301	560	296
294	294	294	295
509	378	473	364
579	402	537	392
543	495	503	479
543	495	503	479
294	391	294	391
643	296	615	292
941	605	941	605
744	557	744	557
581	345	541	334
301	372	300	373
639	351	610	345
447	324	418	308
579	373	537	364
495	392	461	377
700	635	700	635
204	12	204	13
263	508	262	509
572	322	530	314
332	436	332	436
545	205	512	197
739	530	739	530
314	436	314	436
460	518	429	497
308	388	308	389
645	321	616	316
500	443	464	427
500	443	464	427
725	623	725	624
492	412	458	397
294	215	294	215
475	335	443	321
475	335	443	321
306	260	306	261
189	124	189	124
514	348	477	335
572	304	528	294
341	419	340	419
688	462	688	462
630	456	602	447
688	450	688	451
688	450	688	451
600	371	562	363
498	517	462	499
499	528	463	510
298	254	297	254
522	497	484	481
471	294	439	281
562	463	521	451
480	289	446	276
480	289	446	276
477	161	456	152
486	282	453	270
459	529	429	508
506	362	470	349
322	440	322	440
607	341	590	321
623	327	590	321
503	448	467	431
503	448	467	431
472	185	451	175
472	185	451	175
560	519	519	505
577	418	536	408
512	556	476	537
715	483	714	483
302	458	302	458
614	357	579	351
446	503	417	482
449	492	420	472
611	394	575	386
612	475	578	466
610	458	576	448
633	318	602	313
633	318	602	313
651	278	622	274
586	360	545	351
584	410	544	400
549	515	509	500
542	513	503	498
542	513	503	498
609	468	574	459
541	520	501	505
558	554	518	539
513	502	476	485
536	511	497	496
536	511	497	496
494	359	459	345
639	364	610	359
495	294	460	282
495	294	460	282
505	499	469	482
505	499	469	482
468	334	436	320
642	331	613	326
559	546	518	531
491	337	457	323
582	421	541	411
556	314	515	305
504	511	468	493
603	467	567	458
525	367	487	354
446	497	418	476
528	174	501	167
440	520	413	498
525	422	487	409
540	424	501	411
599	471	563	461
599	471	563	461
491	433	457	417
542	531	503	516
592	477	555	466
592	477	555	466
486	335	453	321
509	287	473	276
507	532	471	514
547	575	507	558
521	524	484	507
521	524	484	507
491	420	457	404
533	528	495	512
529	526	490	510
489	305	455	293
439	503	509	302
439	503	509	302
439	503	509	302
439	503	509	302
518	561	482	543
506	310	470	298
517	522	480	505
495	538	460	519
495	538	460	519
507	503	471	486
507	503	471	486
535	569	497	553
535	569	497	553
496	352	461	339
446	513	418	492
532	520	494	504
532	520	494	504
517	504	480	488
534	546	495	529
534	546	495	529
517	420	480	406
568	332	526	324
449	442	419	423
459	526	430	506
619	472	586	464
496	386	461	371
633	469	604	462
553	528	512	513
506	521	470	504
505	539	469	521
549	529	509	514
549	529	509	514
525	525	487	509
454	528	430	511
538	517	499	501
538	517	499	501
508	514	471	497
501	514	465	497
565	435	523	423
454	326	424	311
536	427	498	414
469	297	438	284
616	223	580	218
495	534	460	516
631	481	603	474
631	481	603	474
467	433	435	416
496	356	461	342
484	279	451	267
489	404	455	388
489	404	455	388
613	464	579	455
489	423	454	407
445	436	416	417
494	408	459	393
540	545	501	529
469	292	437	279
469	292	437	279
617	463	584	454
528	481	567	458
436	290	408	275
513	510	477	493
552	556	511	541
552	556	511	541
524	502	486	486
515	463	478	447
499	537	464	518
499	537	464	518
579	561	541	548
518	533	481	517
518	533	481	517
587	551	550	540
491	300	457	288
481	342	448	328
540	527	501	512
551	523	511	509
502	352	466	339
568	468	526	456
496	406	461	391
495	418	460	402
534	543	496	527
457	511	428	491
514	423	451	175
524	557	487	540
487	300	454	287
552	533	512	518
552	533	512	518
497	248	464	237
495	425	460	410
495	425	460	410
548	521	508	506
487	295	453	282
496	399	461	384
582	389	542	355
582	389	542	355
587	220	553	214
587	220	553	214
535	430	496	416
492	411	458	395
533	516	494	500
523	313	485	302
454	522	425	501
554	564	513	549
554	564	513	549
718	633	718	633
483	337	450	323
496	412	461	396
496	412	461	396
499	387	464	373
581	554	543	541
519	303	482	292
507	449	688	462
489	297	455	285
441	303	413	288
441	303	413	288
584	556	546	544
519	512	482	495
567	218	534	211
567	218	534	211
506	290	470	278
519	515	482	498
717	619	707	634
622	305	587	300
450	435	420	417
492	374	457	359
700	643	699	643
700	643	699	643
513	310	476	298
471	350	518	531
482	303	449	290
704	638	704	638
624	465	592	458
606	221	570	216
616	470	583	461
